
Contract: .migrations
Function Name | Function Signature
getPastVotes         | 0x3a46b1a8
getVotes             | 0x9ab24eb0
increaseAllowance    | 0x39509351
mint                 | 0x40c10f19
name                 | 0x06fdde03
nonces               | 0x7ecebe00
numCheckpoints       | 0x6fcfff45
permit               | 0xd505accf
roleStore            | 0x4a4a7b04
symbol               | 0x95d89b41
totalSupply          | 0x18160ddd
transfer             | 0xa9059cbb
transferFrom         | 0x23b872dd

Contract: IncreaseOrderUtils
Function Name | Function Signature
--------------------------------
DisabledMarket       | 0x09f8c937
EmptyMarket          | 0x05fbc1ae
InvalidCollateralTokenForMarket | 0x839c693e
InvalidPositionMarket | 0x182e30e3
OracleBlockNumberNotWithinRange | 0x7c1f500a
OracleBlockNumbersAreSmallerThanRequired | 0x79181780
UnexpectedPositionState | 0x814991c3
UnsupportedOrderType | 0xc1c00831

Contract: IncreasePositionUtils
Function Name | Function Signature
--------------------------------
InsufficientCollateralAmount | 0x74cc815b
InsufficientCollateralUsd | 0x2159b161
InsufficientReserve  | 0x315276c9
InsufficientReserveForOpenInterest | 0xb98c6179
MaxOpenInterestExceeded | 0x2bf127cf
OpenInterestCannotBeUpdatedForSwapOnlyMarket | 0x730293fd
UnableToGetCachedTokenPrice | 0xbe4729a2
UnexpectedBorrowingFactor | 0x99b2d582
UnexpectedTokenForVirtualInventory | 0x785ee469

Contract: LiquidationHandler
Function Name | Function Signature
--------------------------------
CompactedArrayOutOfBounds | 0xbdec9c0d
DisabledFeature      | 0xdd70e0c9
DisabledMarket       | 0x09f8c937
EmptyCompactedBlockNumber | 0x693ebfba
EmptyMarket          | 0x05fbc1ae
InvalidSwapMarket    | 0xcb9bd134
Unauthorized         | 0xa35b150b
UnsupportedOracleBlockNumberType | 0xb6029281
OracleError          | 0x9966b250
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
executeLiquidation   | 0x4ea2fb8a
oracle               | 0x7dc0d1d0
orderVault           | 0x93845e46
referralStorage      | 0x006cc35e
roleStore            | 0x4a4a7b04
swapHandler          | 0x8a53aaac

Contract: LiquidationUtils
